data,autor,texto_original,respostas_coletadas,likes,reposts,uri,termo_busca,categoria_autor
2025-07-06 22:42:46.749000+00:00,usuario_anonimo_2340,"cê tá pensando o entrar como mudar para, ir morar? assim, 11. eu tava falando entrar só mesmo. só desde que trabalho na dengue mais de mil","[tortadetomate.bsky.social]: Hum... Acho que uns 50 na vida toda. Não sou boa com números e nem com minha memória. 
Tenho um pouco de estresse pós traumático aí só lembro da minha vida dps dos 15",0,0,at://did:plc:l5fiqiqxk47zpcfshggz3sas/app.bsky.feed.post/3ltddt5ffv42l,dengue,Comum
2025-07-06 22:39:46.088000+00:00,usuario_anonimo_2515,Saiu o resultado dos exames. Positivo para dengue e chikungunya.,"[realguil.bsky.social]: Eita

Melhoras | [brunaguerreiro.bsky.social]: Caramba 😩😩 melhoras pra ti",0,0,at://did:plc:gltyzlth5jh47dthqcwwlfmc/app.bsky.feed.post/3ltddnr44422g,dengue,Comum
2025-07-06 22:38:19.178000+00:00,usuario_anonimo_2340,"eu fazia isso, mas agora trabalhando na dengue a coisa mudou totalmente né. e claro, é mais legal em cidade pequena que cê pode ir por rua",,0,0,at://did:plc:l5fiqiqxk47zpcfshggz3sas/app.bsky.feed.post/3ltddl67s3e2l,dengue,Comum
2025-07-06 22:15:41.713000+00:00,usuario_anonimo_2340,eu desde que baixei ainda não assisti por ocasião. queria passar pro pessoal lá na dengue ou ver com alguém,"[leanslin.bsky.social]: mas como vai passar o novo do diretor, também com a grace passô, no cinema aqui, eu devo ver pra esquentar =]",1,0,at://did:plc:l5fiqiqxk47zpcfshggz3sas/app.bsky.feed.post/3ltdccpnao42l,dengue,Comum
2025-07-06 22:02:46.359000+00:00,usuario_anonimo_2340,"queria ter como saber quem foram as pessoas que baixaram Temporada de mim. baixem e assistam Temporada, o filme da dengue. YTS, eu semeio",,1,0,at://did:plc:l5fiqiqxk47zpcfshggz3sas/app.bsky.feed.post/3ltdblm7czm2l,dengue,Comum
2025-07-06 19:53:05.275000+00:00,usuario_anonimo_4006,Desistindo de uma viagem a trabalho por motivos de dengue 🫠,,0,0,at://did:plc:lbeu2bqypysaenwzobjrbp7a/app.bsky.feed.post/3ltd2dpli6k25,dengue,Comum
2025-07-06 15:36:13.540000+00:00,usuario_anonimo_3669,Musmiku da dengue. Quase comprei,[cocujinh4.bsky.social]: nunca se sabe se anoite isso ganha vida e suga todo o seu sangue e te passa a dengue 2,54,11,at://did:plc:rfddqo6cukxp33obwvea66oy/app.bsky.feed.post/3ltclyftj2s2a,dengue,Comum
2025-07-06 14:33:26.776000+00:00,usuario_anonimo_4198,"DIA MUNDIAL DAS ZOONOSES 🦠🐀 O termo ""zoonose"" parece se referir a algo distante, que não faz parte do nosso cotidiano. Mas a verdade é que dengue, chikungunya, febre amarela e boa parte das gripes são #zoonoses. Afinal, estas doenças “passeiam” entre humanos e animais. 

(1/3)","[todospelasaude.bsky.social]: Para respondermos aos surtos de doenças zoonóticas, devemos colocar em prática a abordagem #UmaSóSaúde -- que vê a saúde humana, animal e ambiental como interdependentes. Por exemplo, ao protegermos os biomas, evitamos que animais silvestres saíam de seus habitats e nos contaminem.

(2/3)",1,0,at://did:plc:jz3lcih4jgg6r37edffevfrd/app.bsky.feed.post/3ltcii5lm4s2m,dengue,Comum
2025-07-06 10:19:46.404000+00:00,usuario_anonimo_2846,"No meu caso é pra controlar a queda e fazer crescer cabelo de novo. Depois de duas covid, dengue e parto, fiquei careca 🙃",,1,0,at://did:plc:iekys3xbjbsnoqiuo5rxgbc7/app.bsky.feed.post/3ltc2ckbaps25,dengue,Comum
2025-07-06 06:10:24.044320+00:00,g1-bot-rss.adilson.net.br,Estudo de universidade mineira usa extrato de café para combater mosquito da dengue com quase 100% de eficácia,,0,0,at://did:plc:kzkl2onyewbs7pehh2ellzcb/app.bsky.feed.post/3ltbmep4oro25,dengue,Oficial/Verificado
